null,คลองท่อมเหนือ,คลองท่อม,กระบี่,81120,810402,8104,81
null,คลองท่อมใต้,คลองท่อม,กระบี่,81120,810401,8104,81
null,คลองพน,คลองท่อม,กระบี่,81170,810403,8104,81
null,ทรายขาว,คลองท่อม,กระบี่,81170,810404,8104,81
null,พรุดินนา,คลองท่อม,กระบี่,81120,810406,8104,81
null,ห้วยน้ำขาว,คลองท่อม,กระบี่,81120,810405,8104,81
null,เพหลา,คลองท่อม,กระบี่,81120,810407,8104,81
null,คีรีวง,ปลายพระยา,กระบี่,81160,810604,8106,81
null,ปลายพระยา,ปลายพระยา,กระบี่,81160,810599,8106,81
null,เขาต่อ,ปลายพระยา,กระบี่,81160,810598,8106,81
null,เขาเขน,ปลายพระยา,กระบี่,81160,810597,8106,81
null,ดินอุดม,ลำทับ,กระบี่,81190,810702,8107,81
null,ดินแดง,ลำทับ,กระบี่,81190,810704,8107,81
null,ทุ่งไทรทอง,ลำทับ,กระบี่,81190,810703,8107,81
null,ลำทับ,ลำทับ,กระบี่,81190,810499,8107,81
null,คลองยา,อ่าวลึก,กระบี่,81110,810508,8105,81
null,คลองหิน,อ่าวลึก,กระบี่,81110,810504,8105,81
null,นาเหนือ,อ่าวลึก,กระบี่,81110,810503,8105,81
null,บ้านกลาง,อ่าวลึก,กระบี่,81110,810509,8105,81
null,อ่าวลึกน้อย,อ่าวลึก,กระบี่,81110,810505,8105,81
null,อ่าวลึกเหนือ,อ่าวลึก,กระบี่,81110,810506,8105,81
null,อ่าวลึกใต้,อ่าวลึก,กระบี่,81110,810501,8105,81
null,เขาใหญ่,อ่าวลึก,กระบี่,81110,810507,8105,81
null,แหลมสัก,อ่าวลึก,กระบี่,81110,810502,8105,81
null,คลองยาง,เกาะลันตา,กระบี่,81120,810304,8103,81
null,ศาลาด่าน,เกาะลันตา,กระบี่,81150,810305,8103,81
null,เกาะกลาง,เกาะลันตา,กระบี่,81120,810303,8103,81
null,เกาะลันตาน้อย,เกาะลันตา,กระบี่,81150,810302,8103,81
null,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,81150,810301,8103,81
null,พรุเตียว,เขาพนม,กระบี่,81140,810204,8102,81
null,สินปุน,เขาพนม,กระบี่,80240,810203,8102,81
null,หน้าเขา,เขาพนม,กระบี่,81140,810205,8102,81
null,เขาดิน,เขาพนม,กระบี่,81140,810202,8102,81
null,เขาพนม,เขาพนม,กระบี่,81140,810201,8102,81
null,โคกหาร,เขาพนม,กระบี่,80240,810206,8102,81
null,กระบี่น้อย,เมืองกระบี่,กระบี่,81000,810103,8101,81
null,กระบี่ใหญ่,เมืองกระบี่,กระบี่,81000,810102,8101,81
null,คลองประสงค์,เมืองกระบี่,กระบี่,81000,810118,8101,81
null,ทับปริก,เมืองกระบี่,กระบี่,81000,810111,8101,81
null,ปากน้ำ,เมืองกระบี่,กระบี่,81000,810101,8101,81
null,หนองทะเล,เมืองกระบี่,กระบี่,81180,810117,8101,81
null,อ่าวนาง,เมืองกระบี่,กระบี่,81000,810116,8101,81
null,เขาคราม,เมืองกระบี่,กระบี่,81000,810105,8101,81
null,เขาทอง,เมืองกระบี่,กระบี่,81000,810106,8101,81
null,ไสไทย,เมืองกระบี่,กระบี่,81000,810115,8101,81
null,คลองขนาน,เหนือคลอง,กระบี่,81130,810107,8108,81
null,คลองเขม้า,เหนือคลอง,กระบี่,81130,810108,8108,81
null,ตลิ่งชัน,เหนือคลอง,กระบี่,81130,810110,8108,81
null,ปกาสัย,เหนือคลอง,กระบี่,81130,810112,8108,81
null,ห้วยยูง,เหนือคลอง,กระบี่,81130,810113,8108,81
null,เกาะศรีบอยา,เหนือคลอง,กระบี่,81130,810104,8108,81
null,เหนือคลอง,เหนือคลอง,กระบี่,81130,810114,8108,81
null,โคกยาง,เหนือคลอง,กระบี่,81130,810109,8108,81
null,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,10600,101804,1018,10
null,คลองสาน,คลองสาน,กรุงเทพมหานคร,10600,101599,1018,10
null,บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,10600,101803,1018,10
null,สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,10600,101801,1018,10
null,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,101004,1046,10
null,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,101005,1046,10
null,บางชัน,คลองสามวา,กรุงเทพมหานคร,10510,101003,1046,10
null,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,101007,1046,10
null,สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,10510,101006,1046,10
null,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,100902,1033,10
null,คลองเตย,คลองเตย,กรุงเทพมหานคร,10110,100901,1033,10
null,พระโขนง,คลองเตย,กรุงเทพมหานคร,10110,100903,1033,10
null,พระโขนง,คลองเตย,กรุงเทพมหานคร,10260,100903,1033,10
null,คันนายาว,คันนายาว,กรุงเทพมหานคร,10230,100606,1043,10
null,รามอินทรา,คันนายาว,กรุงเทพมหานคร,10230,false,1043,10
null,จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,103005,1030,10
null,จอมพล,จตุจักร,กรุงเทพมหานคร,10900,103004,1030,10
null,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,103003,1030,10
null,ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,100501,1030,10
null,เสนานิคม,จตุจักร,กรุงเทพมหานคร,10900,103002,1030,10
null,จอมทอง,จอมทอง,กรุงเทพมหานคร,10150,102102,1035,10
null,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,102103,1035,10
null,บางค้อ,จอมทอง,กรุงเทพมหานคร,10150,102101,1035,10
null,บางมด,จอมทอง,กรุงเทพมหานคร,10150,102106,1035,10
null,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,10210,false,1036,10
null,สนามบิน,ดอนเมือง,กรุงเทพมหานคร,10210,false,1036,10
null,สีกัน,ดอนเมือง,กรุงเทพมหานคร,10210,100505,1036,10
null,ดินแดง,ดินแดง,กรุงเทพมหานคร,10400,101703,1026,10
null,ดุสิต,ดุสิต,กรุงเทพมหานคร,10300,100201,1002,10
null,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,100206,1002,10
null,วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,10300,100202,1002,10
null,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10300,100203,1002,10
null,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10303,100203,1002,10
null,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,10300,100204,1002,10
null,คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,10170,101901,1019,10
null,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,10170,101903,1019,10
null,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,10170,101902,1019,10
null,บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,10170,101904,1019,10
null,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,10170,101905,1019,10
null,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,10170,101907,1019,10
null,ทวีวัฒนา,ทวีวัฒนา,กรุงเทพมหานคร,10170,101906,1048,10
null,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,10170,101908,1048,10
null,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,10140,102404,1049,10
null,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,102106,1049,10
null,ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,10600,101506,1015,10
null,ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,10600,101505,1015,10
null,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,10600,101503,1015,10
null,บุคคโล,ธนบุรี,กรุงเทพมหานคร,10600,101504,1015,10
null,วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,10600,101501,1015,10
null,สำเหร่,ธนบุรี,กรุงเทพมหานคร,10600,101507,1015,10
null,หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,10600,101502,1015,10
null,บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,10700,102006,1020,10
null,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,10700,102007,1020,10
null,บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,10700,102005,1020,10
null,ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,10700,102004,1020,10
